Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-0.491472222,-0.738552778,0.474761111,-0.25175463,0.118629438,0.077880196,0.102067781,0.099525805,-0.076295755,-0.510011666,0.849496623,0.087729734,-0.55856506,0.665766853,1.576848008,0.561349934,-0.215130593,0.161189861,1.188910924,-0.354665168,0.162364809,0.940140601,0,0,0,0,90.800273,197.822642,82.280603,92.02244,198.549191,84.89374,-123.6225839,-442.7212796,-111.0906978,2.756788889,1.001758333,-2.100691667,0.552618519,33.09748411,47.18022068,34.16645885,38.14805455,-0.252807435,-0.175123614,0.244934736,-0.060998771,-0.634285809,-0.591317935,-0.896402022,-0.707335255,0.947918653,-0.940246521,1.197848799,-0.960570581,1.198872356,-1.108136914,0.033333333,0.013888889,0.016666667,0.021296296,204343.092,411717.136,215071.9534,397095.6023,801711.6274,421833.5337,360.3266659,360.1617268,360.3074926,0.792577778,0.788119444,-1.280455556,0.100080556,0.112840544,0.042736982,0.092890307,0.082822611,-0.02204461,-0.533974747,-0.277904233,-0.27797453,-1.40020595,-1.097743644,-1.152442548,-1.216797381,0.82163684,-0.774871485,0.917343365,-0.541029499,1.028638589,-0.213330402,0,0,0,0,227.704781,223.7930005,591.8585865,230.728508,224.265135,593.350214,-642.5412254,-594.8025852,915.3883915,cement_backpack
-0.479586111,-0.733466667,0.487552778,-0.241833333,0.092333263,0.075560454,0.076668641,0.081520786,0.464297435,-0.346874539,0.91155994,0.342994279,0.351871559,0.449217591,1.390649554,0.730579568,-0.259749682,0.064749063,0.952771502,-0.127474609,0.512796984,0.895662292,0,0,0,0,84.0862065,194.461865,86.5338005,85.870177,195.725784,87.690885,-112.7686998,-428.9247817,-115.9297169,11.73668889,14.65843056,-13.94316389,4.150651852,22.9721943,33.63015463,23.96055122,26.85430005,0.855323303,0.724438364,-0.821670133,0.252697178,0.043323043,-0.105151185,-0.525826848,-0.195884997,0.947288646,-0.936026965,1.206582777,-0.952643217,1.212677181,-1.10148396,0.047222222,0.025,0.019444444,0.030555556,115571.1678,201216.5798,126264.4443,239569.7678,484508.4793,276667.1403,360.5417839,360.2676865,360.4690433,0.324411111,0.633230556,-1.358036111,-0.133464815,0.066019129,0.027838715,0.113801954,0.069219933,0.220373115,-0.269409508,-0.773633122,-0.274223172,-1.19996014,-0.592327477,-1.067019597,-0.953102405,0.781769846,-0.844393589,-0.120067196,-0.411440938,0.471362735,0.673243034,0,0,0,0,38.6061975,144.5060815,664.8518805,39.456394,144.632135,668.596667,-44.31316543,-241.7610845,779.9656505,cement_backpack
-0.895352778,0.375911111,0.095575,-0.141288889,0.155594917,0.223380375,0.129648413,0.169541235,0.128155598,-2.910145282,0.722624167,-0.686455173,0.042296397,12.7965337,0.730562293,4.523130798,-0.377787492,0.14688753,0.532309091,-0.196492494,0.820588699,0.64061583,0,0.002777778,0.080555556,0.027777778,292.457709,61.8907665,6.3014705,297.311895,68.834864,9.339585,-1707.377854,-85.10823576,-9.588338051,38.25556944,-17.55084167,-9.600563889,3.701387963,48.3238575,23.68197525,8.999703258,27.00184534,0.683002724,-0.390885483,-0.017317693,0.091599849,-0.41642205,-0.563829221,-0.066535605,-0.348928959,-0.886852706,-0.590562411,0.815001603,0.573179197,-0.519065481,-0.220893605,0.025,0.036111111,0.022222222,0.027777778,714749.0499,193640.415,46404.25353,1367526.167,312792.4782,62339.57486,360.0947946,360.4148096,362.0910114,-0.483575,0.135011111,-0.142091667,-0.163551852,0.134467778,0.117200753,0.214012175,0.155226902,5.162138695,1.572556661,-3.812596562,0.974032931,28.01644751,6.165903361,18.83613791,17.67282959,0.439847869,-0.764694299,0.144075472,-0.8517995,-0.038326765,0.073143822,0.002777778,0.002777778,0.005555556,0.003703704,87.1791755,9.283224,18.129302,90.693491,11.507046,23.756851,-121.2360477,-11.88700234,-25.43536243,cement_backpack
-0.916777778,0.387958333,0.093277778,-0.145180556,0.132262536,0.139889841,0.10619801,0.126116796,-0.568640955,0.044464345,0.522037332,-0.000713093,0.499029452,-0.960522056,0.408742427,-0.017583393,-0.010116323,0.019136657,1.053623661,0.364861967,1.405835319,1.266838048,0,0,0.055555556,0.018518519,305.387324,56.9256605,6.114439,308.870954,61.229101,7.192354,-2174.762726,-73.77718658,-7.338977682,53.68917778,-25.16675556,-11.91128611,5.53704537,44.35734637,19.65194916,10.1382505,24.71584867,0.069871739,-0.000529792,-0.084387893,-0.005015315,-0.867409024,-1.033981019,-0.53909319,-0.813494411,-0.883452651,-0.719257234,0.797211944,0.689685308,-0.507506898,-0.332273889,0.030555556,0.044444444,0.033333333,0.036111111,1702745.299,351102.8589,74838.25231,1746036.715,367043.2887,88078.6296,360.0742406,360.3534385,361.4774513,-0.506005556,0.110013889,-0.064333333,-0.153441667,0.046829359,0.086232614,0.105368586,0.079476853,0.209606889,-0.126107935,-0.281473504,-0.065991516,-1.310166895,-1.604624621,-1.575516086,-1.496769201,-0.92404136,0.212227572,-0.132000996,-0.551009171,-0.189976166,0.852979244,0,0.005555556,0.027777778,0.011111111,92.667047,5.0886675,2.231231,92.96446,7.034083,5.486874,-125.328657,-7.174261757,-5.5717955,cement_backpack
-0.912163889,0.407827778,0.080208333,-0.141375926,0.143858991,0.128472406,0.099212978,0.123848125,-0.511993076,0.125337544,0.255113665,-0.043847289,-0.517438402,-0.506476044,0.193867207,-0.276682413,-0.151355978,-0.060271662,0.956285718,0.401538201,1.183193438,1.147606684,0,0,0.086111111,0.028703704,302.078182,62.6838115,4.4331815,306.985813,65.818316,5.859573,-2084.628643,-80.54408228,-5.956524924,43.74440556,-21.36658056,-9.267838889,4.36999537,43.40565921,20.14329659,8.575369125,24.04144164,0.190782071,-0.36547593,-0.646755373,-0.273816411,-1.302719096,-1.135418414,0.419881462,-0.672752016,-0.891637496,-0.628427652,0.834232068,0.628881082,-0.547634767,-0.250991988,0.038888889,0.038888889,0.05,0.042592593,1095011.693,254650.0002,44448.28276,1367144.737,310421.9384,57394.72559,360.0948211,360.417981,362.2722999,-0.487361111,0.080305556,-0.0527,-0.153251852,0.04725031,0.088537757,0.106178435,0.080655501,-0.236955668,0.404887079,-0.414830073,-0.082299554,-1.07696288,-1.559203848,-1.529217589,-1.388461439,-0.936789833,0.307108598,-0.038219961,-0.602302435,-0.243968271,0.835192939,0,0.008333333,0.013888889,0.007407407,86.1234945,5.043909,3.3816495,86.31124,5.14365,5.058414,-113.53059,-5.218207311,-5.130503474,cement_backpack
-0.915416667,0.373116667,0.083883333,-0.152805556,0.128692242,0.127902166,0.112989172,0.123194527,-0.427433097,0.220736291,0.81148358,0.201595591,-0.214005503,-0.778800452,0.798097023,-0.064902977,-0.107864496,-0.036351758,0.899299561,0.396173668,1.288889868,1.290499324,0,0,0.072222222,0.024074074,304.6639615,53.5579245,3.7723055,307.637772,56.007004,7.129068,-2115.066569,-66.32561179,-7.273096895,51.575125,-23.64629722,-10.73867778,5.73005,38.76125522,17.10767056,8.419889094,21.42960496,0.095026755,-0.24443334,0.426358987,0.092317467,-0.687877283,-0.673349545,-0.254170151,-0.53846566,-0.893294826,-0.652468455,0.839275835,0.639726092,-0.56609235,-0.276551248,0.011111111,0.016666667,0.027777778,0.018518519,1099247.92,232668.1672,48861.5029,1498474.233,306655.1152,67036.9438,360.0865088,360.4231213,361.9437004,-0.496025,0.101666667,-0.093483333,-0.162613889,0.047536032,0.084850129,0.107934289,0.080106817,-0.136531114,-0.051795421,0.201425596,0.004366354,-1.218558667,-1.609189107,-1.60085006,-1.476199278,-0.931553535,0.171976992,-0.161586636,-0.501138649,-0.168803032,0.918619874,0,0.011111111,0.016666667,0.009259259,88.652149,3.9092355,6.4321085,89.388171,6.312836,7.34002,-118.9147632,-6.425511557,-7.492790081,cement_backpack
-0.900388889,0.403494444,0.092663889,-0.134743519,0.119080406,0.126712207,0.099839348,0.115210654,-0.412168253,-0.12892995,0.570105391,0.009669063,-0.481887129,-0.600449772,0.030191024,-0.350715292,-0.04266163,-0.007461916,0.980201577,0.383808616,1.388337269,1.280992789,0,0,0.083333333,0.027777778,294.372251,60.712985,3.997542,296.956906,64.39095,6.679617,-1695.736668,-78.41688879,-6.805896958,43.916875,-22.04087778,-10.44512778,3.810289815,43.20347981,19.7565888,8.146191018,23.70208654,0.274168527,-0.2300052,-0.166556419,-0.040797697,-0.972457767,-1.017899824,-0.456372517,-0.815576703,-0.922175863,-0.639889697,0.834178322,0.706093571,-0.604699691,-0.234125813,0.027777778,0.038888889,0.033333333,0.033333333,797477.725,191267.6275,46071.81138,1366283.728,315404.3139,63166.00406,360.0948808,360.4113707,362.063497,-0.513238889,0.116044444,-0.079919444,-0.159037963,0.052545099,0.090226864,0.102790708,0.081854223,0.418515258,-0.416437268,0.072358393,0.024812128,-1.225747477,-1.548104949,-1.543630084,-1.439160837,-0.940241826,0.242384139,-0.090100852,-0.538957342,-0.178097621,0.817286794,0,0.005555556,0.008333333,0.00462963,95.7583815,7.496687,3.170246,95.823052,7.778592,6.103097,-130.5802758,-7.950377394,-6.208347407,cement_backpack
-0.906233333,0.402388889,0.083411111,-0.140144444,0.13726287,0.134915772,0.117219016,0.129799219,-0.673661076,0.122264192,0.518450974,-0.01098197,0.441288088,-0.881769693,0.14432235,-0.098719752,-0.144388222,-0.151631685,0.770486183,0.433574527,1.278280487,1.193394369,0,0,0.097222222,0.032407407,299.5262095,62.2905495,3.77704,302.435982,64.84287,7.451176,-1891.406425,-79.0881562,-7.608657801,48.18462778,-23.95140833,-9.705313889,4.842635185,41.84444115,19.07029011,8.290368275,23.06836651,0.072642639,-0.197185591,0.017509608,-0.035677782,-0.820505048,-0.759356333,-0.27602776,-0.618629714,-0.8869618,-0.515492143,0.895434126,0.530470619,-0.591560479,-0.137152483,0.027777778,0.027777778,0.055555556,0.037037037,978871.0374,250766.5698,42803.16817,1466177.619,337444.5334,58652.39657,360.0884148,360.3844733,362.2232745,-0.499752778,0.081847222,-0.038097222,-0.152000926,0.046388247,0.082715822,0.101981719,0.077028596,-0.28154004,0.353359723,-0.689892196,-0.206024171,-1.329409704,-1.478025782,-1.21134489,-1.339593459,-0.938310622,0.304537867,-0.002175715,-0.590245251,-0.272690784,0.873520737,0,0.011111111,0.005555556,0.005555556,90.0267805,3.4212025,4.1886575,90.685695,4.874715,4.266601,-121.222117,-4.94162898,-4.317773828,cement_backpack
-0.907725,0.407608333,0.096091667,-0.134675,0.127936223,0.139737351,0.106853404,0.124842326,-0.62788835,0.169031315,0.599509939,0.046884301,0.28222024,-0.561325481,0.398107323,0.03966736,-0.139493744,-0.030623514,0.842434722,0.389819869,1.310009459,1.260853977,0,0,0.088888889,0.02962963,299.0828635,62.9727685,6.209908,302.519647,66.841589,7.434453,-1894.683439,-82.08180675,-7.591221272,52.61638889,-26.30238333,-12.03767778,4.758775926,39.49954048,18.33409658,8.376229771,22.06995561,-0.120820253,0.17194583,-0.063024724,-0.003966382,-0.574637625,-1.052207035,0.650171393,-0.325557756,-0.921830708,-0.557414873,0.812397293,0.573709521,-0.601372755,-0.141502586,0.011111111,0.016666667,0.033333333,0.02037037,1334622.129,324113.0089,64127.26452,1558331.308,370063.6079,77424.08812,360.0831851,360.3505511,361.6817172,-0.487233333,0.073486111,-0.078963889,-0.164237037,0.053433666,0.088324055,0.100130977,0.080629566,-0.218782458,0.274344824,-0.081669084,-0.00870224,-1.36109826,-1.57211638,-1.602503905,-1.511906182,-0.935293613,0.185822743,-0.131076554,-0.508041889,-0.155313279,0.808485659,0,0.027777778,0.002777778,0.010185185,86.316369,3.4675585,2.4037955,86.490532,4.752485,5.854143,-113.8410006,-4.816063527,-5.950913835,cement_backpack
-0.880297222,0.076025,0.144308333,-0.219987963,0.161257947,0.441965801,0.13194402,0.245055923,-0.721566215,-0.507222531,0.965677508,-0.087703746,1.171521542,-1.270146711,1.169804446,0.357059759,-0.220442793,0.094559886,0.311383551,-0.402855224,1.44156202,-0.125912804,0,0.002777778,0.063888889,0.022222222,284.1840205,17.724149,9.4384905,288.333837,72.400885,13.764283,-1448.384802,-90.62725593,-14.31146943,3.052433333,-21.76569722,0.582269444,-6.043664815,60.45706513,20.42320849,18.51349809,33.13125724,-0.506507257,-0.453990815,1.247175071,0.095559,0.012969876,-0.442854311,1.118050281,0.229388615,0.118440347,-0.805671648,1.447581544,-0.316302188,0.655812852,-1.106355562,0.052777778,0.05,0.055555556,0.052777778,529580.7068,212149.6398,53375.02198,1319174.667,320707.0874,123511.9137,360.0982701,360.4045612,361.0523588,-0.431591667,0.206266667,-0.135183333,-0.120169444,0.114946569,0.166231418,0.148701789,0.143293259,0.557487604,0.44800234,0.073936873,0.359808939,-1.004100711,-0.83467642,-1.49036716,-1.109714764,0.717094233,-0.640286027,0.969609348,-0.825467406,0.878690747,-0.433485231,0,0.016666667,0.005555556,0.007407407,67.434922,21.073265,10.7313625,71.814269,25.264376,14.539232,-89.70998234,-27.17122023,-15.15113728,cement_backpack
