Accelerometer_Avg_x,Accelerometer_Avg_y,Accelerometer_Avg_z,Accelerometer_Avg_total,Accelerometer_Deviation_x,Accelerometer_Deviation_y,Accelerometer_Deviation_z,Accelerometer_Deviation_total,Accelerometer_Skewness_x,Accelerometer_Skewness_y,Accelerometer_Skewness_z,Accelerometer_Skewness_total,Accelerometer_Kurtosis_x,Accelerometer_Kurtosis_y,Accelerometer_Kurtosis_z,Accelerometer_Kurtosis_total,Accelerometer_Correlation_x_y,Accelerometer_Correlation_x_z,Accelerometer_Correlation_x_total,Accelerometer_Correlation_y_z,Accelerometer_Correlation_y_total,Accelerometer_Correlation_z_total,Accelerometer_Zero_x,Accelerometer_Zero_y,Accelerometer_Zero_z,Accelerometer_Zero_total,Accelerometer_Dc_x,Accelerometer_Dc_y,Accelerometer_Dc_z,Accelerometer_Energy_x,Accelerometer_Energy_y,Accelerometer_Energy_z,Accelerometer_Entropy_x,Accelerometer_Entropy_y,Accelerometer_Entropy_z,Gyroscope_Avg_x,Gyroscope_Avg_y,Gyroscope_Avg_z,Gyroscope_Avg_total,Gyroscope_Deviation_x,Gyroscope_Deviation_y,Gyroscope_Deviation_z,Gyroscope_Deviation_total,Gyroscope_Skewness_x,Gyroscope_Skewness_y,Gyroscope_Skewness_z,Gyroscope_Skewness_total,Gyroscope_Kurtosis_x,Gyroscope_Kurtosis_y,Gyroscope_Kurtosis_z,Gyroscope_Kurtosis_total,Gyroscope_Correlation_x_y,Gyroscope_Correlation_x_z,Gyroscope_Correlation_x_total,Gyroscope_Correlation_y_z,Gyroscope_Correlation_y_total,Gyroscope_Correlation_z_total,Gyroscope_Zero_x,Gyroscope_Zero_y,Gyroscope_Zero_z,Gyroscope_Zero_total,Gyroscope_Dc_x,Gyroscope_Dc_y,Gyroscope_Dc_z,Gyroscope_Energy_x,Gyroscope_Energy_y,Gyroscope_Energy_z,Gyroscope_Entropy_x,Gyroscope_Entropy_y,Gyroscope_Entropy_z,Magnetometer_Avg_x,Magnetometer_Avg_y,Magnetometer_Avg_z,Magnetometer_Avg_total,Magnetometer_Deviation_x,Magnetometer_Deviation_y,Magnetometer_Deviation_z,Magnetometer_Deviation_total,Magnetometer_Skewness_x,Magnetometer_Skewness_y,Magnetometer_Skewness_z,Magnetometer_Skewness_total,Magnetometer_Kurtosis_x,Magnetometer_Kurtosis_y,Magnetometer_Kurtosis_z,Magnetometer_Kurtosis_total,Magnetometer_Correlation_x_y,Magnetometer_Correlation_x_z,Magnetometer_Correlation_x_total,Magnetometer_Correlation_y_z,Magnetometer_Correlation_y_total,Magnetometer_Correlation_z_total,Magnetometer_Zero_x,Magnetometer_Zero_y,Magnetometer_Zero_z,Magnetometer_Zero_total,Magnetometer_Dc_x,Magnetometer_Dc_y,Magnetometer_Dc_z,Magnetometer_Energy_x,Magnetometer_Energy_y,Magnetometer_Energy_z,Magnetometer_Entropy_x,Magnetometer_Entropy_y,Magnetometer_Entropy_z,class
-1.235550711,-9.388909489,3.618222675,-2.335412508,1.135616521,0.923466212,1.005545171,1.021542635,0.057750035,-0.66713313,0.247833489,-0.120516535,-0.446894901,0.605623993,-0.542180263,-0.127817057,-0.44668516,-0.355686776,0.35775183,-0.007878463,0.399671047,0.581812132,0.038888889,0,0,0.012962963,861.8526594,31967.15469,4952.569936,1013.835759,32041.58804,5076.95631,558.2149158,364.090704,387.4753446,0.055159246,0.709127248,-0.257189106,0.169032463,0.197349781,0.67311396,0.269793389,0.38008571,0.103586025,0.122183705,-0.24697205,-0.00706744,-0.029040549,-1.1679686,-1.185638758,-0.794215969,0.6438179,-0.62569846,1.215260866,-0.855107016,1.498264856,-1.129409822,0.05,0.008333333,0.030555556,0.02962963,5.048725953,270.0375246,41.21375716,15.11621223,344.1397883,50.01649519,-15.77875388,-7811.391575,-58.08676265,4.185243056,36.0015625,-18.240625,7.315393519,6.939816407,4.46197862,12.04873364,7.81684289,0.205475827,0.280512148,0.171838911,0.219275629,-1.047834489,-1.413217497,-1.77148854,-1.410846842,-0.165154094,-0.161349585,0.544829192,0.952273787,1.892008442,1.941707495,0.011111111,0,0,0.003703704,21063.77148,467136.2793,120938.5723,23643.83203,473767.832,172041.2578,365.5660941,360.2737597,360.7548873,cement
-2.62853406,-9.428094594,2.881448125,-3.05839351,1.038000021,1.106800341,1.224752889,1.123184417,-0.248369627,-0.948113233,-0.120987785,-0.439156882,-0.557648897,1.869915677,-0.510926562,0.267113406,-0.339941472,-0.426932868,0.123635459,0.09487188,0.774704209,0.789363509,0,0,0,0,2611.289438,32228.02428,3150.703254,2875.188725,32441.03088,3528.994658,411.5269485,364.0397704,400.8962507,-0.13845975,-0.437148861,0.196898141,-0.126236823,0.322831418,1.12004906,0.357550567,0.600143682,-0.05809041,0.247918979,-0.248973195,-0.019714875,-0.083384111,-0.778012644,-0.682321609,-0.514572788,0.892871665,-0.849374104,1.698255476,-0.863186523,1.832333303,-1.472089701,0.030555556,0.002777778,0.019444444,0.017592593,19.03228971,182.4707431,24.08834271,44.42084175,520.4192481,59.98006301,-50.67350809,1167.883104,-71.97129264,8.727604167,37.74027778,-8.464756944,12.66770833,7.574846997,5.145746129,10.05968329,7.593425473,0.374307346,-0.716484452,-1.200715507,-0.514297538,-1.076237468,-1.105391516,-0.223241774,-0.801623586,-0.574637605,-0.337435635,0.161114658,0.918359981,1.321059222,1.610512588,0.005555556,0,0.022222222,0.009259259,28157.09766,515485.5781,35511.38672,48077.77734,522290.6172,62225.76172,362.7159689,360.2483089,362.0948582,cement
-3.047363113,-9.171867397,3.053630068,-3.055200147,1.052279589,1.140827328,0.912925094,1.035344004,0.252975373,-1.02852826,-0.021268614,-0.265607167,-0.311998646,1.135538598,0.114831845,0.312790599,-0.313615434,-0.338251058,0.372533817,-0.143156912,0.65690695,0.380234097,0,0,0,0,3496.312435,30571.69199,3596.489548,3741.737139,30752.86987,3656.911976,398.323499,364.264158,399.3095117,0.206024581,0.703918037,-0.22598522,0.227985799,0.299221475,0.666056474,0.250136292,0.40513808,0.282572592,-0.142584536,0.024201465,0.05472984,-0.269641959,-0.803809445,-0.804753975,-0.62606846,0.808319661,-0.743751476,1.608263487,-0.823064355,1.732853176,-1.285037099,0.019444444,0.002777778,0.016666667,0.012962963,24.5629739,257.2734954,29.17193633,47.51266279,338.0874582,40.90949438,-54.73680551,-5554.421118,-46.15435971,10.40555556,34.4703125,-17.24461806,9.210416667,6.821940098,3.534898212,12.00791764,7.45491865,0.569023961,0.479267263,0.433757742,0.494016322,-0.891430693,-0.957592552,-1.536983826,-1.128669024,0.054101063,0.267483861,1.371591898,0.860145422,1.909145958,2.263365145,0,0,0.022222222,0.007407407,47793.47266,428462.9941,111599.3398,55733.20312,432251.2617,158964.0977,362.3404823,360.3000755,360.817129,cement
-2.765070119,-9.4254401,2.635619314,-3.184963635,1.048488704,0.92351494,1.034397309,1.002133651,-0.063791924,-1.083705738,0.425946936,-0.240516909,-0.429659287,2.056905507,-0.279986746,0.449086491,-0.279132745,-0.316940593,0.461877462,-0.048338901,0.579609098,0.656047204,0,0,0,0,2997.642089,32102.79858,2673.791714,3148.178877,32289.04833,2885.928106,406.4819532,364.0589998,411.3078736,-0.263796991,-0.769388569,0.276736751,-0.252149603,0.265772528,0.730408327,0.233439265,0.409873373,-1.097448662,-0.230716766,0.601085163,-0.242360088,0.992233032,-1.09464001,-0.543340117,-0.215249032,0.849522061,-0.776492838,1.720059521,-0.786403826,1.884997836,-1.335356571,0.022222222,0.005555556,0.005555556,0.011111111,43.30965823,370.8940537,45.49464221,50.48060019,405.163834,47.18776318,-58.71365762,3229.552663,-54.30604287,9.673958333,35.34166667,-13.90885417,10.36892361,7.929019351,5.583649711,12.12437954,8.545682866,0.693482081,0.239063749,-0.111626932,0.273639632,-0.827232055,-1.564055704,-1.830780705,-1.407356154,-0.492339054,-0.068414826,0.509085498,0.870556237,1.431698114,1.92410582,0.005555556,0,0.016666667,0.007407407,55344.97852,451210.459,70601.61328,56323.73437,460875.7969,122564.4492,362.3157854,360.2814236,361.0605179,cement
-3.238146371,-9.159812436,3.092329602,-3.101876402,0.862222803,1.020383245,0.847877848,0.910161299,0.159946,-0.509156618,0.253005879,-0.032068246,-0.262990377,0.513090957,0.155783984,0.135294855,-0.297449731,-0.20618867,0.421779388,-0.03107093,0.810373888,0.701406464,0,0,0,0,3881.612564,30429.55549,3526.903789,4042.447229,30579.6045,3701.303716,395.193987,364.2886068,398.7872552,0.245541454,0.81367134,-0.240138443,0.273024784,0.252075152,0.565638917,0.252269102,0.356661057,0.816023191,0.010255528,0.04682705,0.291035256,0.307775778,-1.1340318,-0.339430039,-0.388562021,0.783502021,-0.732833209,1.431003472,-0.844756819,1.542176397,-1.15035624,0.019444444,0.019444444,0.016666667,0.018518519,35.82164324,315.441271,37.75163499,44.57969563,353.5230365,43.67022179,-50.88033397,-19649.37635,-49.69901959,9.475347222,37.17586806,-11.36875,11.76082176,7.884884111,3.983258327,11.08264233,7.650261588,0.355767917,-0.123754678,-0.442908493,-0.070298418,-1.209894274,-1.551498129,-1.478582783,-1.413325062,-0.546199897,-0.293591632,0.320963898,0.868611919,1.216043472,1.598325999,0.016666667,0,0.016666667,0.011111111,42815.76563,498076.0488,53953.10156,54703.29687,503248.1445,90746.4375,362.3848387,360.2577114,361.4338434,cement
-2.859194398,-9.344009403,2.647414785,-3.185263005,1.021087884,1.04291857,1.064959842,1.042988765,0.041953679,-0.583343127,0.020457781,-0.173643889,-0.508150019,0.488362425,-0.243989182,-0.087925592,-0.528853326,-0.438543165,0.002402777,0.254520421,0.742066357,0.846234239,0,0,0,0,3224.161824,31663.54931,2795.459426,3318.340707,31823.34871,2931.460024,403.8083415,364.1190784,410.3993835,-0.200810272,-0.589632591,0.196297448,-0.198048472,0.361023184,0.97475236,0.327154148,0.554309897,0.579796428,0.489807013,-0.637057666,0.144181925,-0.17120543,-0.815776058,-0.353133488,-0.446704992,0.935384717,-0.903284779,1.763053999,-0.922495205,1.823257712,-1.620315605,0.013888889,0.013888889,0.013888889,0.013888889,22.0421931,183.2368095,22.94268217,61.43850172,467.2111522,52.40250899,-74.0814229,1568.829467,-61.32983456,11.78767361,32.28767361,-20.31909722,7.91875,6.992149148,4.304872226,10.78931662,7.362112666,0.4245569,1.11684337,0.929109554,0.823503275,-1.207630579,0.09836386,-0.86952211,-0.659596276,-0.126494297,0.363593593,1.408635568,0.851969559,1.71317326,2.309016191,0,0,0.005555556,0.001851852,51148.23828,378735.8516,160545.877,67622.18359,381969.2852,190539.0234,361.9267885,360.3396144,360.6814632,cement
-3.230921402,-9.132249745,3.245810427,-3.03912024,1.051856336,0.991025627,0.992814203,1.011898722,-0.097219495,-0.426524067,0.165628733,-0.119371609,-0.268965701,0.233757167,-0.686456898,-0.240555144,-0.339546511,-0.283297068,0.428991241,0.010831016,0.637044648,0.697263654,0,0,0,0,3870.049129,30195.47733,3977.320996,4156.291749,30376.84219,4147.547532,394.1385775,364.3175761,394.2173924,0.059592145,0.295689462,-0.090428838,0.088284256,0.38336177,1.046031513,0.369785084,0.599726122,-0.280872731,-0.457612398,0.257273065,-0.160404021,-0.310368592,-0.663896421,-1.156846939,-0.71037065,0.944216803,-0.905109994,1.728032325,-0.933881948,1.771929692,-1.59084188,0.008333333,0.013888889,0.002777778,0.008333333,16.05640464,86.96230098,7.643380947,54.18628927,425.3811062,52.17061787,-63.78740865,2342.224032,-61.01244236,10.47256944,39.06475694,-5.578993056,14.65277778,8.350307358,3.726838965,6.457933397,6.178359907,0.105876574,-0.687161665,-1.746096246,-0.775793779,-1.511331634,-0.652264522,1.975836151,-0.062586669,-0.828635714,-0.530075307,0.297639583,0.772859682,0.291105154,0.795027372,0.005555556,0,0.022222222,0.009259259,56596.16406,551930.6348,17210.58984,64584.84375,554380.043,26218.82422,362.0179107,360.2339266,365.0118288,cement
-2.950384784,-9.3017773,2.809857,-3.147435028,1.070564767,0.98196054,1.101544889,1.051356732,0.071111561,-0.523283547,0.341632098,-0.036846629,-0.658056248,0.841535773,0.049615139,0.077698221,-0.425024228,-0.375989175,0.227362214,0.03582768,0.538742329,0.698340983,0,0,0,0,3345.875031,31345.47526,3147.894011,3546.316545,31495.43068,3279.1311,400.6739249,364.1624605,404.3967727,0.009591293,0.135969331,-0.033747888,0.037270912,0.406368645,1.220445711,0.469909977,0.698908111,0.400841473,-0.073716564,0.123477939,0.150200949,-0.828024656,-1.222030485,-1.290793956,-1.113616366,0.917981341,-0.893643884,1.583588517,-0.946623568,1.643501725,-1.500256664,0.019444444,0.013888889,0.013888889,0.015740741,6.332565517,33.83369024,2.980844561,59.48188861,542.871141,79.90355018,-71.25520588,1068.695748,-102.6977603,14.17569444,31.56753472,-21.96423611,7.926331019,6.503237004,3.67714333,8.508320403,6.229566913,-0.070167745,0.274222627,1.090712466,0.431589116,-1.641048745,-0.244242251,0.033948655,-0.617114114,0.138441851,0.601063354,1.946579481,0.759923333,1.772697019,2.441827028,0,0,0.005555556,0.001851852,85873.58203,360914.7871,194623.1563,87567.26563,363611.0273,199734.9062,361.4861147,360.3567781,360.6500317,cement
-2.781163339,-6.862057249,3.498538225,-2.048227455,1.172052369,5.828969825,0.908328169,2.636450121,0.259500204,2.107073452,0.661621596,1.009398417,-0.555371771,2.585966154,-0.881205601,0.383129594,0.648168869,0.221860129,1.954040744,0.688175854,2.736159179,1.964655468,0,0.002777778,0,0.000925926,2914.933861,22721.31624,4594.422275,3279.08746,29183.29881,4703.338718,404.3974365,364.4963625,389.8387965,0.007392872,0.106425766,-0.019980666,0.031279324,0.202476342,0.464737839,0.155489121,0.274234434,1.448493642,1.876600971,-1.511243137,0.604617159,2.740517716,3.829926007,3.157974284,3.242806002,0.929410525,-0.780467059,1.870860768,-0.742126106,1.96010741,-1.266912662,0.030555556,0.041666667,0.038888889,0.037037037,5.69183995,46.0337283,4.701459546,14.77847648,81.83077293,8.847393761,-15.41112349,-105.9034407,-9.070306464,5.440277778,30.61666667,-3.603645833,10.8177662,7.080225489,25.71112551,9.121300486,13.97088383,-1.391649475,-2.169064231,-1.973637788,-1.844783831,0.818045271,2.726143331,2.264950832,1.936379812,0.895198589,0.960646528,2.781437087,0.976851686,2.931775229,2.937455592,0.002777778,0.002777778,0.022222222,0.009259259,18778.62305,444583.8691,18897.72656,28701.4375,575439.2109,34626.37891,364.5728097,360.2253603,363.7821329,cement
-0.497046407,6.391382661,7.073025218,4.322453824,0.498634859,0.708307156,0.776402341,0.661114785,1.33728702,-0.666088561,0.539470555,0.403556338,2.334899881,-0.127786436,2.708323523,1.638478989,-0.60362129,0.553755018,0.757844602,-0.773290296,-0.29202774,0.76355401,0.019444444,0,0,0.006481481,133.0150072,14729.00967,18077.84419,178.449067,14886.52969,18226.97508,-353.8492644,368.9216078,367.2536061,-0.081270114,0.134263916,0.227873378,0.093622393,0.179449406,0.276181642,0.358016608,0.271215885,-0.531085373,0.840078247,1.120579438,0.476524104,2.868189862,-0.516697512,0.064553006,0.805348452,0.296691028,-0.011943405,0.948005253,0.843732142,2.328376855,2.171320823,0.036111111,0.030555556,0.008333333,0.025,6.525516807,12.13942858,28.20545979,13.97049149,33.9491155,64.83678044,-14.53453192,-37.48397002,-79.0790973,-11.66215278,-26.73680556,-32.75833333,-23.71909722,1.463802204,5.835975923,3.82729597,3.709024699,0.787617896,1.086374463,-0.839384198,0.344869387,0.280384325,-0.144760533,-0.425705865,-0.096694024,0.231590212,-0.185971846,0.567153896,-0.982336755,0.651191318,-0.587168826,0,0,0,0,49404.30273,259613.1797,387312.6934,49733.46875,269609.5391,391592.375,362.6248915,360.4813379,360.3312609,cement
